id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,ethnicity
CA-2013-0000001,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,25-32,,Hispanic,Hispanic,Mechanical or Nonmoving Violation (VC),Equipment,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000002,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,33-39,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000003,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,25-32,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000004,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,49+,,White,White,Mechanical or Nonmoving Violation (VC),Equipment,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000005,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,40-48,,Black,Black,Mechanical or Nonmoving Violation (VC),Equipment,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000006,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,40-48,,Black,Black,Mechanical or Nonmoving Violation (VC),Equipment,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000007,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,40-48,,Black,Black,Mechanical or Nonmoving Violation (VC),Equipment,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000008,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,40-48,,Hispanic,Hispanic,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,H
CA-2013-0000009,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,40-48,,Other,Other,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,O
CA-2013-0000010,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,33-39,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000011,CA,01/01/2013,,Santa Ana,Orange County,6059,,,M,15-25,,Hispanic,Hispanic,DUI Check,DUI,FALSE,No Search,,FALSE,Verbal Warning,FALSE,H
CA-2013-0000012,CA,01/01/2013,,Santa Ana,Orange County,6059,,,F,40-48,,Hispanic,Hispanic,DUI Check,DUI,FALSE,No Search,,FALSE,Verbal Warning,FALSE,H
CA-2013-0000013,CA,01/01/2013,,Santa Ana,Orange County,6059,,,F,40-48,,Hispanic,Hispanic,DUI Check,DUI,FALSE,No Search,,FALSE,Verbal Warning,FALSE,H
CA-2013-0000014,CA,01/01/2013,,Santa Ana,Orange County,6059,,,F,40-48,,Other Asian,Asian,DUI Check,DUI,FALSE,No Search,,FALSE,Verbal Warning,FALSE,A
CA-2013-0000015,CA,01/01/2013,,Santa Ana,Orange County,6059,,,M,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,Verbal Warning,FALSE,W
CA-2013-0000016,CA,01/01/2013,,Santa Ana,Orange County,6059,,,M,15-25,,Other Asian,Asian,DUI Check,DUI,FALSE,No Search,,FALSE,Verbal Warning,FALSE,A
CA-2013-0000017,CA,01/01/2013,,Santa Ana,Orange County,6059,,,M,49+,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000018,CA,01/01/2013,,Santa Ana,Orange County,6059,,,M,25-32,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000019,CA,01/01/2013,,Santa Ana,Orange County,6059,,,M,40-48,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,Verbal Warning,FALSE,H
CA-2013-0000020,CA,01/01/2013,,Santa Ana,Orange County,6059,,,F,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000021,CA,01/01/2013,,Santa Ana,Orange County,6059,,,M,40-48,,Other Asian,Asian,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,A
CA-2013-0000022,CA,01/01/2013,,Santa Ana,Orange County,6059,,,M,49+,,Other Asian,Asian,DUI Check,DUI,FALSE,No Search,,FALSE,Verbal Warning,FALSE,A
CA-2013-0000023,CA,01/01/2013,,Santa Ana,Orange County,6059,,,F,25-32,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000024,CA,01/01/2013,,Santa Cruz,Santa Cruz County,6087,,,M,15-25,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
